Equity issue,day of week,description (from line),Column 4,Column 5
1895-03-14, Saturday,  Early on Saturday morning fire broke out on the premises of Arthur A. Dicks upholsterer 226 St. Helen's avenue Toronto and when the firemen succeeded in subduing the flames they found the remains of Mrs. Dick burned almost beyond recognition.,,
1895-03-14, Saturday,  election on Saturday the two parties are evenly divided the Moderates having won many seats from the Progressives.,,
1895-03-14, Monday,  Greenwich on Monday evening to protest Li-Hung-Chang has been received three,,
1895-03-21, Thursday,  8hawville every Thursday.,,
1895-03-21, Tuesday,  ST Will be In .Shawvlllt from Monday till Friday of each week. WillvisitQuyonthe second Tuesday of1895-03-21, Monday,  ST Will be In .Shawvlllt from Monday till Friday of each week. WillvisitQuyonthe second Tuesday of
1895-03-21,Sunday,  Graduate of MoOIH University Montreal) I checked in time to prevent serious conse fUt Upa0l hours. Open on Sunday be Quite a number of the juveniles rom,,
1895-03-21, Tuesday,  Mr. D. Childerhose of Pembroke spent s few days here returning home Tuesday accompanied by hose who has been spending some time here.,,
1895-03-21, few day,  Mrs. James of Buckingham has been visiting here for a few days.,,
1895-03-21, Monday,  * Quite a pleasant time was spent Monday evening at the residence of Mr,,
1895-03-21,Wednesday,  Speaking in advance of the convention of the Conservatives of Wright county held at Hull on Wednesday last the Aylmer Gazette prognoeticated that three names would likely go before it for nomi namely Registrar Duhamel Mayor,,
1895-03-21, Monday,  A large shipment of Manitoba butter made on Monday to England.,,
1895-03-21, Saturday,  On Saturday the Marquis of Queeosherry Ottawa proposes to spend forty-five I WM committed for trial on a charge of hav-thousand dollars to improve its fire protec- in8 libelled Mr. Oscar Wilde.,,
1895-03-21, Thursday,  America.	! 1 hursday morning and then took hie own by the new Scotch cutter Ailsa.	the upper portion settles down as the feed j61  * c0n#tr'cUd acroe Minois to the1895-03-21, Every day,  The Queen does much work which appears to the public view. In one year she has read not less than 28000 dispatches. Every day the sealed boxes are brought to her wherever she is boxes filled with government documente and the daily report of the Prime Minister. These duties constrain her Majesty to follow strictly her own routine from which she is loath to deviate. She is
1895-03-21, Friday,  At St. Thomas on Friday evening last Chief Justice Meredith sentenced J. Hendershott and W. Welter to be hang ed on the 18th of June next fur the mur der of young John Hendershott nephew of the first named. It is said the counsel for the condemned are going to appeal for a new trial.,,
1895-03-28, Thursday,  Shawville every Thursday	I - ^ McGuire D. V. 8. returned,,
1895-03-28, Tuesday,  A Savings Rank In connection with each At Chapleau on Tuesday evening the	wonderfully cheap.	will divide the grant.,,
1895-03-28, Thursday,  Will be at Shawvllleflret Thursday of each month.,,
1895-03-28,Sunday,  Sunday school and Bible class 9 a m.,,
1895-03-28,  Mday,  While at Arnprior last week The Chorch ou Mday evening. April 5th.	There is a chance for the girls in the,,
1895-03-28,Wednesday,  Chicago U.8. at 5 o'clock on Wednesday	\oronto March >>trah Swallow formisU. The majority in Manitoba,,
1895-03-28, Friday,  The Queen arrived at Nice on Friday and drove to the Hotel Cimiez.,,
1895-03-28,day,  Snow fell in Tangier Morocco on Sun. day night for the liret time in many years,,
1895-03-28, Friday,  Sir Robert Duff Governor of New South Wales died in Sydney on Fflday. He w as sixty years o( age.,,
1895-03-28, Saturday,  There was an ex plow on of fire damp in a Silesian coal mine on Saturday by which fifty lives have I een lost.,,
1895-03-28,other day,  The remains of Victor Hugo the French poet who died in I8s5 were placed iu the Pantheon in Paris the other day.,,
1895-03-28, Friday,  Henry Cook ex-Mana ger of the defunct Commercial Bank of St John's Nfld arrested on Friday evening and lodged in gaol.,,
1895-03-28, Friday,  The Methodists of London are having diamond cutter commit ed suicide in plane prepared for a $65000 building to Chicago on Friday evening by taking car-replace the church burned ou Queen'# bolic *cid. avenue recently.,,
1895-03-28, few day,  is spending a few days at the Durdans his,,
1895-03-28, Afbnday,  Mr Joseph H. Stiles who is promoting prns who were confined in the dark room was found dead in her home on Afbnday  B,,
1895-03-28, Thursday,  The efforts put forth to defeat the Hon. ! jl!i8 beou taken from cotton and placed Mr Hackett in Stanstead on Thursday cotton or because nails are free while he,,
1895-03-28, 18th day,  The prospect of an election taking place in the near future has vanished by the decision of the Ministry last week to sum-Parliament for the dispatch of business on Thursday the 18th day of April.,,
1895-03-28,Wednesday,  Auctioneer H Hobbs has advertised the sale of the stock and effects of Mrs. . _ Alex. Warren of Bristolto take place on Wednesday 27 U leaf.,,
1895-03-28, Saturday,  The Emperor is superintending personally most of the arrangements which are etilj incomplete. On Saturday he telegraphed orders to Kiel that the royal reception rooms in the now Kiel station be decorated,,
1895-03-28, Saturday,  AYERS EE '	Saturday March 30th,,
1895-04-04, Thursday,  In issued from the office of Publication at Shaw ville every Thursday.,,
1895-04-04, Thursday,  010eoi?h!er OB ARLES McJl^Eje^t Thursday C*nti on <)ttawa niar* I	] Q,,
1895-04-04,Wednesday,  linery opening on Wednesday week.,,
1895-04-04,Wednesday,  Mr D. 8 Baird of Filsroy Harbor a J merchant of many years standing of that place and a gentleman well known and highly esteemed in the community died at his residence on Wednesday laat. A wife and family of seven children survive,,
1895-04-04, Friday,  lost a horse on Friday from inflammation,,
1895-04-04, Saturday,  Courtat Shawviiie. Agent for the Credit Pon- advertised for sale in these columns a few on Saturday night last.	The Rev. W. C. Di I worth will give the,,
1895-04-04, Tuesday,  1er franco Canadian. Money to lend on easy terms. | weeks ago by Mr. E. T. Hodgina has Carpenters are busy at work making Presses on Monday and Tuesday.,,
1895-04-04, Thursday,  here on Thursday afternoon laat The late. a directed to ournotwe wth refer ^ke through the ice. but waa jerked,,
1895-04-04, Monday,  wonderful escapes made by criminals from I The ancient Phoenicians in taking a legal concluded on Monday last that he was,,
1895-04-04,Wednesday,  Wednesday March 27th by the Ray. T. A Nelson. Ilu* Rev. M 1). M. Blakely B A . Forester's Falls Ont. lo Misa Agnes eldest daughter of John Young Ksq. of Bristol.,,
1895-04-04,Sunday,  At Voyoo. Sunday the 24th March Frank!-*. \oiingi st sou of Mr. and Mrs. F Blair aged 20 years.,,
1895-04-04, Tuesday,  Shaw ville on Tuesday April 2nd Edna Mend eldest daughter of O. \ Burroughs. FNq.. need 15 years and 6 months Funeral en Ihuisdny ni 10 o'clock lo SliHWVlIle cemetery.,,
1895-04-04,Wednesday,  Milwaukee had a million dollar fire on Wednesday last.,,
1895-04-04, each day,  temperance societies in London on Tuesday quiriee disproving the eiistauce of disease 01'y a few hours each day charging it dressing gownand fastened with silk frogs evening. Congratulatory messages were ^sve b*** communicated by^^the^Bntieh | necesaary but once o; twice smooth. Then |	this could be seen trousers of,,
1895-04-04, Friday,  Ogilvie'# elevator at	Methven	Man.	The Katherines of the United Kingdom	At a maae meeting held on Friday night I in the glass lamps beside the coaohinan'e I *ng8 of bla< k silken lex lure underneath,,
1895-04-04,Sunday,  Mr. William Birkett.a well-known Hamilton business man died euddenly Sunday morning.,,
1895-04-04, Saturday,  death the friends of the family attempted The coachman from hie seat can light the On Saturday the Prinoees called on th. to euppree. the particulars bat they were	outaide lamps and turn on the heat inaide. | wife of ihe Turkish Consul wearing a pro.,,
1895-04-04, Thursday,  The first Methodist church at St. Thomas Out was almost completely destroyed by fire on Thursday afternoon only the walls and the tower remaining. The loss is estimated at $25000 on which there was $15000 insurance.,,
1895-04-04, Tuesday,  through Ottawa on Tuesday on their way Hon. Richard V.ui died at Philadelphia to Bermuda and the \V eel Indies. They	74. He achieved social fame by,,
1895-04-04, Saturday,  The Veloe with the barge Pilot in tow	Saturday passed the third	reading of the	works ?	But sir you may have a fire at any,,
1895-04-04, President Cleveland warn 58 years of age on Monday,,,
1895-04-04, Tuesday,  Mies Ada McRae returned from Ottawa Tuesday evening.,,
1895-04-04, rlday,  Holy Week . Good F rlday April 12 Her vices at 10 a. m. ; 81> m. and 7 n. m.,,
1895-04-04, LineHuuday,  Eighth LineHuuday April 7-2.U0 p.m.,,
1895-04-04, few day,  Miss Minnie Ardill of Hryson spent a few days with her sister our popular,,
1895-04-04, Thursday,  Messrs J. and S. Cole returned home Thursday from the woods,,
1895-04-04,Wednesday,  Wednesday evening by a sleigh load from		.,,
1895-04-04, Thursday,  Wednesday night 27th ult H to k place Friday p. in. and was largely attended by a number of sympathetic friends. Mr D J. Craig officiated in liev. Mr. Nelson's absence. Messrs. E Payne and George Lothian arrived from Ottawa on Thursday to attend the fune,,
1895-04-04, Monday,  Mrs. Young who has been visiting friends here left for her home in Claren d   ii Monday.,,
1895-04-04, few day,  her friend Miss Farrell of Otter Lake themselves with the most modern aide to | into COntFUCtS for tftkillg OUt spent a few days with Mrs. D. Roes. successful dairying,,
1895-04-04, Friday,  Our German friends are having special Lenten services ou Friday evenings.,,
1895-04-11, Thursday,  la issued from the office of Publication at Shawville every Thursday.,,
1895-04-11, Saturday,  All who have need the Manitoba flour Several accidents occurred on the that 0. Fred Hudgins is welling says its rVtir near here on Saturday. Mesura splendid and wonderfully cheap.	W. McLean and Joe. A mm with ahorse,,
1895-04-11, Thursday,  Will he at Hhawvllleflrst Thursday of each month.,,
1895-04-11, Saturday,  On Saturday last Mr. Jos. Arm it age of North Onslow called at The Equity office on his way home from a collecting tour in which he was soliciting funds for the erection of a new English Church at North Onslow which is said to be,,
1895-04-11, Saturday,  Mr. F. J. tieddes City Clerk of Calgary died suddenly on Saturday.,,
1895-04-11, Thursday,  The most seven; gale for many years swept New York harbor on Thursday doing much damage to the vessels.,,
1895-04-11, Thursday,  Mr. R. H. Reihune for many years cashier of the Dominion Hank * died on Thursday at his residence in Toronto.,,
1895-04-11,the day,  The Colonial Office has been asked to ascertain from France the day on which it wil he convenient to proclaim the treaty between that country and Canada in force.,,
1895-04-11, Saturday,  The Cabinet Council on Saturday which Lord Rosebery attended decided to nominate Mr. W illiam Court Gully Q.C. M.P. for Carlisle for the Speakership to succeed,,
1895-04-11, Friday,  Lord KimWrley on Friday informed a deputation from the Armenian Association that Great Britain in conjunction with France and Russia would take decided steps to attain desired reforms for the protection of the Armenian Christians.,,
1895-04-11,Sunday,  A pitch-in took place early on Sunday -_...	^ Kimball of Rochester the MArlin Alonzo Pinzon and the cruiser without seeming to knew that they have,,
1895-04-11,Wednesday,  The PatiWe bill in the Ontario Legislature lo prohibit the u*e of t ail way jmw sea by members of the Legislature met iu fate on Wednesday last by an adverse,,
1895-04-11, Friday,  At a meeting of the Cut Nails association held on Friday )a*i it whs decided in fix the price of cut nails at $2 10 per keg delivered at my point in Canada. This practically means that the,,
1895-04-11, Thursday,  Luke Cheese Factory Thursday April 18th,,
1895-04-11, this day,  to him. that as he has decided to close his where he intended spending his declining endon met this day. Members present business and remove from ShawvIMe about days. Finding his strength failing him J t*. C. Armstrong Jae. Hart and W. E,,
1895-04-11, twenty eighth day,  TJUBLIC NOITCE Is hereby given by * undersigned Sec Treasurer of the M el pall t y of Clarendon. County of Pontiac that the list of persons entitled to vole at the election of a nvuibtw ol I he Legislative Assembly of the Province of Quebec has been odged In the oflVeof the und-rslgned at the disposal and for the Information of all partie* Interested; and that on Monday the twenty second day of the month of April 1885. at th awn*l lime and place of meeting the municipal Council will examination and correction of the said list Dated at Hhawvllie. this twenty eighth day of the month of March one thousand eight hundred and ninety,,
1895-04-11, Tuesday,  Minutes of a special session of the Municipal council of the village of Shaw ville duly convened by order of the mayorand held at his office on Thursday the 2l t day of March 1895,,
1895-04-11, 1st day,  Shaw ville hold on Monday the 1st day Feh. 13 Paid Warden McNally expenses re sale of bunds of April 1895.	March 3 Paid Registering By laws 28 snd 29 and report,,
1895-04-18, Tuesday,  Mrs. Leonard Jerome mother of lady Randolph Churchill died at Tunbridge Wells on Tuesday.,,
1895-04-18, Thursday,  A boat left Detroit for Cleveland on Thursday which marks the opening of navigation on Lake Erie.,,
1895-04-18, Thursday,  Louie Bouchard a Grand Trunk Railway clerk committed suicide at Hochelaga ou Thursday.,,
1895-04-18, Saturday,  Saturday afternoon. The tragedy,,
1895-04-18, Thursday,  Mrs. Paran Stevens the well known society leader of New York died at her home in that city on Thursday from pneumonia complicated by heart trouble.,,
1895-04-18, Saturday,  The will ol the late Col. Allan Gilmour of Ottawa was probated on Saturday. The valued at $1452000. Deceased,,
1895-04-18, Friday,  Mr. Adam Cantelon treasurer of the township of Goderich died at Clinton on Friday. He was seventy five years of age.,,
1895-04-18, Monday,  condition of the institution under the court until the first Monday in May. management of Warden Ouimet	The mutilated body of a colored woman,,
1895-04-18, Thursday,  A MEETING of the Patrons off Green Lake Cheese Factory will be held on Thursday April 18th for the purpose of organising for the season's work of Meeting will be held in No. 10 school house at 6 p m. All farmers of that locality are respectfully requested to attend.,,
1895-04-18,Sunday,  looted as liters-suggestions for reviving Interest In it. One of them Is already in operation in Sunday School work. Another ie its study as liter-in the schools and colleges.,,
1895-04-18, Tuesday,  Tho Ontario Legislature was prorogued on Tuesday last.,,
1895-04-25, Thursday,  Is issued from the office of Publication at Shaw ville every Thursday.,,
1895-04-25,Wednesday,  The Ottawa Journal of Wednesday last last may#,,
1895-04-25, Tuesday,  gins on Tuesday evening last.	I *******,,
1895-04-25, Thursday,  17W?lS be at Shawvllleflrst Thursday of each they consider that the fact that of the month.	nearly 31400.00 raised in the parish for,,
1895-04-25, Friday,  Friday April*- Evening Prayer 7 o'clock. I_,,
1895-04-25,Sunday,  Sunday Apr XB-6. 8. and Bible Class. 9 .u. Morning Prayer 10.30. Evening Pray- aDle,,
1895-04-25, Tuesday,  Dr. W. C. McGuire V. 8. returned on Tuesday evening of last week from a,,
1895-04-25, Friday,  A lecture will be given by Dr. Bar M per in the Masonic Hall on Friday even Hanna D. Kennedy,,
1895-04-25,Sunday,  put up at all hours. Open oa Sunday between 12 and I p m. Da. R.H. Klooi.,,
1895-04-25,Sunday,  Sunday April 26- Service 130. p m.,,
1895-04-25, Thursday,  Thursday May 2-Confirmation class 6 p m. Service 7,,
1895-04-25,Sunday,  Sunday School Worhi,,
1895-04-25,Sunday,  Stipends tor year eudlng Marcb 211*5 ^8 7* by Tboe Piundergast I Sunday collections for running cap #^4# 4*,,
1895-04-25,the day,  Then the two young men went off together Fairfield leaving word at the office that he should not return for the day.,,
1895-04-25, Friday,  Han Francisco is shocked at the second murder of a young woman in the Emmanuel Baptist Church. On Friday the mutilate1 of Minnie Williams wore found in,,
1895-04-25, Friday,  was attempted on Friday night when a named William Farr employed as the Canadian Pacific iail way.,,
1895-04-25,Sunday,  The steamer Numidiao which arrived at Halifax on Sunday from Liverpool brought 70 orphan boys destined for Western Canada.,,
1895-04-25, Saturday,  The jury in the suit of Chas. W. Me* Keever to recover damages for the loes of his daughter's life from the Atlantic Avenue Railway Company brought in a verdict in Brooklyn N. Y. on Saturday for four 1 housand dollars.,,
1895-04-25, Friday,  Hon Mr Foster moved seconded by recated and that was the action of attor Bon. Mr.Co.tignn that the speech be ney generml Sifton in Bsldiinnod. The provlnTOOfnllebeei . taken into consideration on Friday.	Hon Mr. Foster referred to the death of	iiuniolpaiityof cianmdon f,,
1895-04-25, Friday,  respect everywhere paid to the memory is given in chapter 10 to the Grand Lodge At Thorne West an Friday the 19th Inst. ai-of the deceased statesman have been of Canada.	Ian Ernest infaat son of Mr Benjamin,,
1895-04-25, Thursday,  The fifth session of the seventh Parliament of Canada opened on Thursday last under exceptionally favorable conditions. Fully two thirds of the members of the Commons were in their seats when Mr. Speaker took the chair. At a quarter past three the Gentleman Usher of the Black Rod summoned the   faithful Commons    to attend the Senate Chamber where Hie Excellency the Governor General read the following,,
1895-04-25,Sunday,  Sunday Obaerr-lectorsi Franchiae bill and,,
1895-04-25,other day,  the other day occurred a most affecting,,
1895-04-25, Friday,  -------------------------------*-------- Last Friday the P. P. J. Oo. put a con-,,
1895-05-02, Thursday,  Is issued from the office of Publication at Shawville every Thursday.,,
1895-05-02, Friday,  A oroat Hnllnhilnn	become alarmed on account of the pro*	n Friday last. Her remains	were inter	been spent upon it. Driving parks are,,
1895-05-02, Saturday,  111 prices OI	aiders the lake a barrier quite sufficient Saturday afternoon.	tawa Valley.,,
1895-05-02, Thursday,  J. McWh.rter has commenced to framv 8imday M Iffik as follows : Thorne I death in a peculiar way on Thursday.,,
1895-05-02, Thursday,  The attendance on the floor of the chamber at the opening of Parliament on Thursday was not nearly mo large previous occasions neither was there such a rich display of ladies' costumes. Many jf the dresses were very beautiful and there was a gieat variety of tints which helped to form a very pretty scene to which additional color was lent by the rich sniforme of the office re. The galleries were packed with spectators who craned their necke to catch every detail of the ceremony as though they were viewing it for the first time.,,
1895-05-02,Wednesday,  Paymaster Dobson who deserted ftom Many rivera in New liAinpahtre ailected mto l ort Antonio ou Wednesday creating	/'	\	/ ; / dtiv buildings as fellow laborer# with men.,,
1895-05-02, Thursday,  Judge Wurtele on Thursday.m Montreal Me p MUte lho ehultlug down of nAUy i Peat is being sucoesfully used as fuel for	'	X /	W	axe. trundle the wheelbarrow lay bricks,,
1895-05-02, Saturday,  instantly.	| In Minneapolis on Saturday Judge Sea- an extensive order tor necessary material.,,
1895-05-02, Thursday,  The seven year old daughter of Mr. F. Thomas a painter residing in Ottawa met with her death in a peculiar Thursday afternoon. W,,
1895-05-02, Monday,  The strikers attacked in omnibus on Monday evening. Thu pn. e charged with drawn swords wounded two and arrested seventeen. The most ardent Socialists in the Municipal Council are moving to obtain a special sitting to consider the advisability of depriving the company of ite concession. The public supported the strikers in 1890 but now oppose them inasmuch as the company has fulfilled the imposed.,,
1895-05-02, Tuesday,  The ostrich which some time ago given to the Queen by a South African Queen died on Tuesday in the Zoological gardens London.,,
1895-05-02, Monday,  On April toih by Rev. It il. Peever H.TL.Bt Brother Mr. John Russell on Monday.,,
1895-05-02, Tuesday,  Quyon Tuesday May 7 th.,,
1895-05-02,Wednesday,  Shaicrille Wednesday Afay 9th,,
1895-05-02, Thursday,  Campbell* Bay Thursday May 9th.,,
1895-05-02, Tuesday,  Ladies and men a tweed and rubber gortOD| on Tuesday last. The ceremony,,
1895-05-02, Friday,  here on Friday evening last. His sub	with made-up   switches   chignons and	entrance. Order is maintained by the	following	time table	:,,
1895-05-02, Monday,  At the close of the lecture Dr. Harper age Monday evening. April 15. There A Colon despatch says that the Nicer-took occasion to express his disapproval was a satisfactory attendance and encour aguans at Corinto withdrew crossing the of the idea which seems to bo gaining aging reports.	Lugo separating the town from the main,,
1895-05-02, Tuesday,  becomes his duty to impart whatever of On Tuesday of last week Mr. R. Lough know ledge and instruction he can to the ren jr and Miss Maggie eldest daugh children without charge. As we under- ter of Mr John Connelly of Clarendon,,
1895-05-02,Sunday,  Eight Line Sunday May 6 Service 2.80 p an.,,
1895-05-02,Sunday,  The Sunday Schools at Radford Bight Line and No. 5 will commence on Sunday. May 6.,,
1895-05-09, Thursday,  la iaued from the office of Publication at Shawrille every Thursday.,,
1895-05-09, Toeaday,  Mr. W. Arm it age and family p*nied br Mr. John Wilton left t geon Falls on Toeaday.,,
1895-05-09, Friday,  A tent of the order of Maccabees was Mkin8 for biIe of divorce at the piesent instituted at Bryson on Friday evening   *ss:on of the Dominion parliament.,,
1895-05-09, Tuesday,  1 y answered3*' ^  oorrespondenceprompt- the 6th of May 1	At Otter Lake on Tuesday April 30,,
1895-05-09,Sunday,  They will be sold without reserve.	Just what was required to to haeten 4th Sunday after Easter - May 12th a job price On which WO CAB,,
1895-05-09, Tuesday,  HtllKT	ATLtll	Tuesday in the person of Mrs. Thom. G.	at $}* brlck work of Hargr Elliott 2 Jennie Jones 3.,,
1895-05-09, Saturday,  Friday last for interfering with the	enca on Saturday May 25th at - o clock	year to any person to sell intoxicating,,
1895-05-09, Friday,  Friday last for interfering with the	enca on Saturday May 25th at - o clock	year to any person to sell intoxicating,,
1895-05-09,Sunday,  On Sunday evening Dwight L. Moody au d r,,
1895-05-09, Saturday,  ad enormous reservoir near Kpinal burst The Dominion Government has been re- has involved in serious loss some Canadian There are four genuine cases of leprosy on Saturday inundating many villages in Sueeed ! Y Imperial authorities to send i dealers.	in Brooklyn. All the victims sre negro,,
1895-05-09, Saturday,  and few were spared at Auxforges. Hundred* Falher rartxdis makes a strong appeal to Saturday afternoon.	ed lhat It would use electricity on its line one silk or one pulled and the other,,
1895-05-09, yesterday,  One of the saddest of the many end oe ourrenoee which ere oontinusllj taking place around us ears the Pembroke Observer was the terrible accident which be fel Mrs. Josephs Gabel an aged and pected ladv yesterday evening Gebel resided in the East ward and went down to the lake shore the afternoon be Ing very warm. The 0. P. R. track skirts the lake along the ward the curve at Cecelia and Peter streets being very considerable. When Mrs. Gebel was returning the five o'clock train came around the curve. She may have seen the train and hastened to get across the track before its approach. But she was struck by the engine and killed. Mrs. Gebel had nearly completed her 84th year.,,
1895-05-09, unlucky day,  A German itatlstlolan has figured out that Mondayand not Friday le the real unlucky day.,,
1895-05-09, Friday,  .JL 	Speech on Friday afternoon,,
1895-05-16, Thursday,  I* iiiued from the office of Publication at Shawville every Thuraday.,,
1895-05-16, Thursday,  Bruckville board meeting held last Thursday the general sentiment appeared to be against making the provisions of the bill before Parliament compulsory. The question evidently has more sides than a Iret sight would suggest and it may bo the course of wisdom to hasten slowly in,,
1895-05-16, Thursday,  On Thursday May Bth at 891 Kent HU Ob tawa the wife uf I)uvld It. McKarlioli df a daughter.,,
1895-05-16, Monday,  On Monday April 20th on road somewhere between Campbell's Bay and Hhawville a light overcoat of daik grey color. Pockets contained two pairs of kid gloves. The finder will he suitably rewaidcd by leaving the goal at W. Kelly h hotel VV. Ci*ike's or with die owner. Gen. Ilyre\ *1 Shawville.,,
1895-05-16, Saturday,  ing the absurd contention that the House Jos. Andrews the young Should not have been summoned for busi- shot near Cartier on Saturday April 20th,,
1895-05-23, others day,  lace. And yet we hear people talking the purpose of providing a days en- St. Pauls Church Shawville Thurs UNION HOUSE	about hard times.	tertainment for the visitors and others day May 2.3-Ascension Day-Holy,,
1895-05-23,Sunday,  -T . . urn.t.i	village y the lake.	tawa Endeavor Societies will give an	ing Prayer 10 30	; Evening Prayer 0 30	some Sunday to be hereafter designated,,
1895-05-23, few day,  SI L tnntiM h HALL*	A few days ago Mr. L. E.	Parsons of	exhibition of drilling. If the weather is	p-m.	are to be given toward the Cemetery 1m-,,
1895-05-23, Tuesday,  Clarendon Front Tuesday May 28 7 p m.,,
1895-05-23,Sunday,  11 order at once and secure your choice. |   lowing Sunday morning,,
1895-05-23, Friday,  Intelligence was recoivod here on Fri day of .the death on the previous after,,
1895-05-23, Saturday,  Guelph's water main burst in the East Botanic Gardens in Washington has held Ward on Saturday and the city watei- the place for forty-three years supply was completely shut eft.	The journal of Commerce eetimatee the,,
1895-05-23, Saturday,  The C. P.K. station at MacLeodN. W.T. Ejjia |iiwn(it New York on Saturday. This entered by burglars on Saturday night le largest arrival in one day since June and about one thousand dollars secured. J ^,,
1895-05-23, Monday,  treasurer estima 10a a larger deficit for nex-t The Texas State Treasury when it yar	closed on Monday night was announced,,
1895-05-23, Thursday,  launched on Thursday.,,
1895-05-23, Thursday,  The Ottawa Journal of Thursday last,,
1895-05-30, today,  today confirming the news that Formo 	* ss had declared her independence and,,
1895-05-30, Friday,  burned on Friday. The loee is estimated tween two ladiee-leade the writer to record your blessings day by day over every Intrrefttiitf iiri.it About Oar Own l oan-	at one million pounds.	it that the reader may compare It with	species of	nature's gifts	that you enjoy  	The late frosts are said to hare eeriouily,,
1895-05-30,other day,  vation of our timber resources.	ed waters aa the British Government has aMAnflll.  heWinfl	... Tne other day those hve boys now grown ShipmenU of hoots were 76450 cases against,,
1895-05-30, Saturday,  iety with which the editor looks forward Cap! Trench of H. M. S. Royal Arttv to Saturday evening when the hands ur flagship of the Pacific station who had have to ho .mid their wages which a charge of the British troops landed at usually well earned lie leans his auo^,,
1895-05-30,Sunday,  T. J. Wilson. Sunday School and Bible Class june and pay your bonus tax for year,,
1895-05-30, Friday,  on Friday last :,,
1895-05-30, Tuesday,  On Tuesday night Hon. Mr. Foster laid on the table the supplementary estimated for the year amounting to $1143-,,
1895-06-06, Thursday,  Is issued from the office of Publication at Shaw ville every Thursday.,,
1895-06-06,Wednesday,  Tho County Council meets on Wednesday next 12th inet.,,
1895-06-06, Monday,  largo quantity of effects destroyed by 10 ami. on Monday $15. The last I retire on tho 24th ult.	member of having it was at the Argue,,
1895-06-06,Wednesday,  drowned cn Wednesday last while he with	played before	a fairly	good	sized looking in tho direction of the house	1 tt Jti	A 1 v W A D L,,
1895-06-06,Wednesday,  Mr. Aylen will regularly attend the Courts _ at Bryson at which place he will Heo he | erect be present on the second Wednesday of every month.,,
1895-06-06, Thursday,  Thursday of this week.,,
1895-06-06, Thursday,  Radford Thursday June 13th. S. S. Teachers 6 p. m. Evening Prayer 7 p.m. The S. 8. Excursion will take place on,,
1895-06-06,Wednesday,  what Dr. Montague did on Wednesday snd he accomplished his task in a ser which has added to his already high,,
1895-06-06, Monday,  8 00 10 00	the coroner's jury had late on Monday	has reduced the price to the consumer in,,
1895-06-06,Sunday,  Monday revealed many interesting facts couraging ; in some instances they have A MALE TKACHF.H(Protestant) hobling Leaving Maniwaki at daybreak on Sunday been beyond expectation and there is,,
1895-06-06, tenth day,  the tenth day of June next.	the scene of the murder late in the	even-	beeo impossible to raise	every year cro,,
1895-06-06,Sunday,  8) I barring accident everyday except Sundays when desired between the h' uti of,,
1895-06-06, Saturday,  8 a. m. and t> p. in. Maikot days (Tues- Will be sent to any address in Canada or days and Saturdays) ferry will run from  the United States by mail from now till,,
1895-06-06,Wednesday,  oo Wednesday night and protested against York Mrs. James Brown Potter wrought are healthfully weary before going to bed. tremeiy particular concerning the clothing,,
1895-06-06, Saturday,  there on Saturday afternoon while playing in-Europe.	.	be provided with plain wholesome food months many of the European resident# gone up a ravine at the side ot the building,,
1895-06-06, Saturday,  Michiel Rogers mi expressman was killed by a trolley car on Queen street west Toronto on Saturday afternoon. Deceased warn turning out of the way ol a westbound,,
1895-06-06,Dominion day,  Keep in mind the grand Masonic demonstration to take place at Shawyille on Dominion day.,,
1895-06-06, Tuesday,  While Mr. Walker Fletcher and lus wife were driving in the vicinity of Radford on Tuesday they experienced a very narrow escape from dangerous if not fatal injuries through a runaway accident. As it was they were both thrown out of the buggy and received a pretty severe bruis ing up. Lack of space to-day precludes oar giving details of the accident.,,
1895-06-06,Wednesday,  The annual meeting of the Canada Atlantic nnd Ottawa Am prior A Parry Sound railways held at Ottawa on Wednesday last Mr. J. R. Booth was re-elected president of both roads. Mr. Reorge Parley was elected vice-president and Mr. A W. Fleck secretary treasurer of the Canada Atlantic. Mr. C. McLachlin was elected vice president and Mr. Wm. Anderson secretary treasurer of the Parry Sound road.,,
1895-06-06,Sunday,  For all Sunday School Teachers Scholars and Parents of Scholars :,,
1895-06-06, Thursday,  The attendance at Uncle Tom's Cabin on Thursday night was large.,,
1895-06-06, Saturday,  Misses Kate McLean M. J. Bell of ! the village and Miss Richards of Billerica left on Saturday evening to spend a,,
1895-06-13, Thursday,  Ii issued from the office of Publication at Shaw ville every Thursday.,,
1895-06-13, Monday,  On Monday of last week the Upper Ottawa Improvement Company launched a new tug at Pembroke to be called the E. H. Bronson. She is built of steel and 143 feet long.,,
1895-06-13, few day,  Mr. H. 0. Hewit representing the Ottawa Journal spent a few days in Shawville last week writing up some of the business places of the village. The result will appear shortly in The Journal.,,
1895-06-13,Dominion day,  Everybody should make an effort to attend the Dominion day celebration at Shawville.,,
1895-06-13, Tuesday,  Mies Levina Do we of South Onslow returned home on Tuesday from Otter Lake where she was the guest of Miss Sarah Poitras.,,
1895-06-13,Wednesday,  On Wednesday last Magistrate O Gara of Ottawa sentenced a young Englishman with several aliases to 5 years imprisonment for raising money orders.,,
1895-06-13, Monday,  Council Hall Shawville Monday June 3rd 1895.,,
1895-06-13,thii day,  Regular session of the municipal coun cil held thii day at 7.30 t>. m. Mem hers present Mr. Mayor H. Hobbs; Councillors John H. Armstrong Robert McCredie Donald McRae and Jas Pren-,,
