Equity issue,Day,Description,Section,Type,
1895-01-31,n/a,Miss <PERSON>Lizzie Richardson</PERSON> who for the past six months has been living at <LOCATION>Carleton Place</LOCATION> has returned home for a few weeks' visit accompanied by Miss <PERSON>D. Hamilton.</PERSON>,<PERSON>Radford</PERSON> notes,arrival,
1895-01-31,n/a,<ORGANIZATION>Times</ORGANIZATION> are very dull around here since the young men have gone to the woods. Some of the young ladies are very lonely.,<PERSON>Radford</PERSON> notes,event,
1895-01-31,Saturday,"<PERSON>Claude McLachlin</PERSON> Esq. left for <LOCATION>New York</LOCATION> last week from which port he sailed for <LOCATION>England</LOCATION> on Saturday per steamer ""Lucania"" of the Cunard Line. Mr. <PERSON>McLachlin</PERSON> goes to <LOCATION>Europe</LOCATION> on a business trip and expects to be gone about six weeks.",Local and general,departure,
1895-01-31,Sunday,Miss <PERSON>Mulligan</PERSON> of Pembroke Miss <PERSON>K. McLean</PERSON> of the <LOCATION>St. Lawrence Hall</LOCATION> and Mr. <PERSON>W. E. Rowan</PERSON> of <LOCATION>Arnprior</LOCATION> spent Sunday at <LOCATION>Maryland</LOCATION> the guests of Mr. <PERSON>Dan</PERSON>. Smith.,<PERSON>Quyon</PERSON>,arrival,
1895-01-31,Sunday,Mr. <PERSON>H. J. Ferguson</PERSON> spent Sunday with his many friends in <LOCATION>Ottawa.</LOCATION>,<LOCATION>Quyon</LOCATION>,departure,
1895-01-31,Sunday,Mr. <PERSON>John McAdam Contrsector</PERSON> of <LOCATION>Nova Scotia</LOCATION> spent Sunday at the <LOCATION>St. Lawrence Hall</LOCATION>, <LOCATION>Quyon</LOCATION>,arrival,
1895-01-31,Thursday, ARTHUR McCONNELL Attourney at Law Main St. Hull Que will at request attend all courts in the district. All correspondence promptly answered. Will be at <LOCATION>Shawville</LOCATION> first Thursday of each month, advertisement,arrival,
1895-01-31,Thursday, At our patron meeting held at <LOCATION>Lichfield</LOCATION> on the 17th we had the pleasure of Mr. <PERSON>Craig</PERSON>'s company. His speech was listened to with much attention also that of Miss <PERSON>A. Bolam</PERSON>. At the next meeting held in No. 8 on Feb. 7th it was decidedd to have a taffy pull at the close of the meeting, Notes from <PERSON>Murrell</PERSON>'s Settlement,event,
1895-01-31,Tuesday, Another fatal case of diptheria occured in the village on Tuesday morning a little boy of Mr. <PERSON>Thomas Lewis</PERSON>' having succumbed to the disease, Local and General,death,
1895-01-31,Tuesday, There are no new cases of diptheria here consequently school will re-open on the 28th, Notes from <PERSON>Murrell</PERSON>'s Settlement,event,
1895-01-31,Wednesday,On Wednesday the 16th a large number of our most influential citizens called at the domicile of our very obliging and efficient and ever painstaking bus driver Mr. <PERSON>Wm Richardson</PERSON> and presented him with a handsomely filled purse and a suitable bag for his business as a token of their most sincere appreciation for his faithfulness and strict attention to duty, <PERSON>Quyon</PERSON>,event,
1895-01-31,Wednesday,"Mrs. <PERSON>R. Richardson</PERSON> had a sewing ""bea"" on Wednesday last. Quite a number of young ladies attended.",<PERSON>Radford</PERSON> notes,event,
1895-01-03,n/a,Miss <PERSON>J. McDowell</PERSON> contemplates a visit to friends across the <LOCATION>Ottawa</LOCATION> river shortly.,<LOCATION>Greer Mount</LOCATION> notes,departure,
1895-01-31,n/a,Mrs.Geo. <PERSON>McDermott</PERSON> of <LOCATION>Bristol</LOCATION> is visiting her sister Mrs. <PERSON>Jas</PERSON>. <PERSON>C. Williams</PERSON> of Arnprior.,Local and general,departure,
