Equity issue, day of week, description (from line)
1895-03-21, Friday,  At St. Thomas on Friday evening last Chief Justice Meredith sentenced J. Hendershott and W. Welter to be hang ed on the 18th of June next fur the mur der of young John Hendershott nephew of the first named. It is said the counsel for the condemned are going to appeal for a new trial.
1895-03-21, Saturday,  likely be known on Saturday.	(f Messrs. McMahon and Muldoon the were awarded to The Equity at the same
1895-03-21, Saturday,  Saturday March 30th
Binary file 1895-03-21,  matches
1895-03-28, Thursday,  Shawville every Thursday	I - ^ McGuire D. V. 8. returned
1895-03-28, Tuesday,  A Savings Rank In connection with each At Chapleau on Tuesday evening the	wonderfully cheap.	will divide the grant.
1895-03-28, Thursday,  Will be at Shawvllleflret Thursday of each month.
1895-03-28, Sunday,  Sunday school and Bible class 9 a m.
1895-03-28,  Mday,  While at Arnprior last week The Chorch ou Mday evening. April 5th.	There is a chance for the girls in the
1895-03-28, Wednesday,  Chicago U.8. at 5 o'clock on Wednesday	\oronto March >>trah Swallow formisU. The majority in Manitoba
1895-03-28, continually day,  when the Versailles troop# got possession How often how continually day after I would Imow and she would euaer from of Pjris tnd many ot her facts or fiction#	day had he laid aside Me dearest occupa* I	thst knowledge.
1895-03-28, that day,  (hi# young woman and her mother were	My mother urged him to take some re*	We knew before that day was ended
1895-03-28, till day,  The evidence of the gen larme who arrest- time. Tne lamp had been burning till day- j titled and then give a special course of ed tie mn Merer red h inded was conclusive break when she saw it extinguished.	instruction in that direction. One will learn
1895-03-28, Friday,  The Queen arrived at Nice on Friday and drove to the Hotel Cimiez.
1895-03-28, . day,  Snow fell in Tangier Morocco on Sun. day night for the liret time in many years
1895-03-28, few day,  The long series of investigations which have been made by the Drainage Committed <>f the County Council of London England appear to definitely settle the question of the transmission of typhoid fever by the aid of sewer gases. On contrasting the prevailing organisms of sewage with those of sewer gas air they were found to bear no resemblance whatever to one another. Conducting the investigations with special reference to typhoid fever it was found that the bacillus of this disease was not only capable of any growth or multiplication in sewage but that each auc-ceedmg day found the number of germs rapidly decrease their ultimate death being a question of only a few days nr at most one or two weeks. Stwsgu is without doubt the most fruitful source of the dissemination of typhoid fever through the pollution of drinking wafer but from the results of these investigations it appear# in the higf est degree unlikely that the air of sewers should play any part in the conveyance of the germs of the disease.
1895-03-28, Fflday,  Sir Robert Duff Governor of New South Wales died in Sydney on Fflday. He w as sixty years o( age.
1895-03-28, Saturday,  There was an ex plow on of fire damp in a Silesian coal mine on Saturday by which fifty lives have I een lost.
1895-03-28, other day,  The remains of Victor Hugo the French poet who died in I8s5 were placed iu the Pantheon in Paris the other day.
1895-03-28, Friday,  Henry Cook ex-Mana ger of the defunct Commercial Bank of St John's Nfld arrested on Friday evening and lodged in gaol.
1895-03-28, winter day,  with pure mercury. The whole was heated &nd he lifted the head and they gently to a temperature 91200 degrees where glass laid the remains in the coffin begins to be fully conductive. The two It was a miserable winter day ; but
1895-03-28, Friday,  The Methodists of London are having diamond cutter commit ed suicide in plane prepared for a $65000 building to Chicago on Friday evening by taking car-replace the church burned ou Queen'# bolic *cid. avenue recently.
1895-03-28, few day,  is spending a few days at the Durdans his
1895-03-28, Afbnday,  Mr Joseph H. Stiles who is promoting prns who were confined in the dark room was found dead in her home on Afbnday  B
1895-03-28, Thursday,  The efforts put forth to defeat the Hon. ! jl!i8 beou taken from cotton and placed Mr Hackett in Stanstead on Thursday cotton or because nails are free while he
1895-03-28, 18th day,  The prospect of an election taking place in the near future has vanished by the decision of the Ministry last week to sum-Parliament for the dispatch of business on Thursday the 18th day of April.
1895-03-28, that day,  mg on to oe hoard on that day and on
1895-03-28, 7th day,  the 6th tith and 7th days of March 1896
1895-03-28, 1st day,  mise to contribute 25 cents if he quote me tioo prior to tne 1st day of May loJU I |H cleared thoroughly stumped and well
1895-03-28, Wednesday,  Auctioneer H Hobbs has advertised the sale of the stock and effects of Mrs. . _ Alex. Warren of Bristolto take place on Wednesday 27 U leaf.
1895-03-28, Saturday,  The Emperor is superintending personally most of the arrangements which are etilj incomplete. On Saturday he telegraphed orders to Kiel that the royal reception rooms in the now Kiel station be decorated
1895-03-28, some day,  advance slowly but it is not impossible that even now we are moving towards a time when war will become as obsolete as the trial by combat between individuals. Up to the Crimean war Europe had enjoyed forty years of peace and had begun to think that peace was going to be perpetual. During the subsequent forty years the Comment has been the scene of no less than five great ware while lor tour of these years thecountiy to the south of us was given over to one of the most terrible conflicts in history. But there has been of late a growing distaste for beginning a serious international quarrel. The nations of Europe go on building ships and making gun* but if a strained situation arises the efforts ot diplomatists are at once exerted to smooth matters over in the shortest possible time. There is one view of European snd American armaments which is calculated perhaps to qualify the regret that sometimes be felt at the immense amount of vitality devoted to military and naval preparations and that is that some day in the futute all the western nations will have to stand shoulder to shoulder against the countless millions of the East.
1895-03-28, few day,  and friends A few days ago Ttie Timm reporter was passing along I)ivision street when it was noticed that a new barber iho|' had been opened by Mr. Dick Cousby a
1895-03-28, Saturday,  AYERS EE '	Saturday March 30th
Binary file 1895-03-28,  matches
1895-04-04, Thursday,  In issued from the office of Publication at Shaw ville every Thursday.
1895-04-04, Thursday,  010eoi?h!er OB ARLES McJl^Eje^t Thursday C*nti on <)ttawa niar* I	] Q
1895-04-04, Wednesday,  linery opening on Wednesday week.
1895-04-04, Wednesday,  Mr D. 8 Baird of Filsroy Harbor a J merchant of many years standing of that place and a gentleman well known and highly esteemed in the community died at his residence on Wednesday laat. A wife and family of seven children survive
1895-04-04, Friday,  lost a horse on Friday from inflammation
1895-04-04, Saturday,  Courtat Shawviiie. Agent for the Credit Pon- advertised for sale in these columns a few on Saturday night last.	The Rev. W. C. Di I worth will give the
1895-04-04, Tuesday,  1er franco Canadian. Money to lend on easy terms. | weeks ago by Mr. E. T. Hodgina has Carpenters are busy at work making Presses on Monday and Tuesday.
1895-04-04, the day,  Calls responded to at all hours of the day or night
1895-04-04, Thursday,  here on Thursday afternoon laat The late. a directed to ournotwe wth refer ^ke through the ice. but waa jerked
1895-04-04, a day,  I thought of the river eiw him rowing so few in a day but not how he managed toward the sunset with his strong elow | to live eeventy-th.ee years. He was mod-
1895-04-04, Friday,  looking when seen in one direction under reported Friday morning A tough rang the microscope like the teeth of a saw. the door bell at the house of Prof. Tagg on
1895-04-04, that day,  any overt form though 1 considered it my What dirt I thrnk of you that day! duty to warn Robert Hatrell of the Only that you were the most enchanting existence of this vindictive reeling and to woman I had ever seen and that Robert let him know that his enemy was in Hatrell was a men for all other men to
1895-04-04, the day,  It happened in the days when trade# unions were called conspiracy end when the law of the land bore heavily open work*
1895-04-04, Monday,  wonderful escapes made by criminals from I The ancient Phoenicians in taking a legal concluded on Monday last that he was
1895-04-04, Wednesday,  Wednesday March 27th by the Ray. T. A Nelson. Ilu* Rev. M 1). M. Blakely B A . Forester's Falls Ont. lo Misa Agnes eldest daughter of John Young Ksq. of Bristol.
1895-04-04, to day,  school question difficulty to day was the "nl fhn^wouldet no longer leave it announcement that the G worn ment had | l\> ih suusy heavenly plain decided to adjourn the Legislature on
1895-04-04, Sunday,  At Voyoo. Sunday the 24th March Frank!-*. \oiingi st sou of Mr. and Mrs. F Blair aged 20 years.
1895-04-04, Tuesday,  Shaw ville on Tuesday April 2nd Edna Mend eldest daughter of O. \ Burroughs. FNq.. need 15 years and 6 months Funeral en Ihuisdny ni 10 o'clock lo SliHWVlIle cemetery.
1895-04-04, Wednesday,  Milwaukee had a million dollar fire on Wednesday last.
1895-04-04, other day,  Mr. A F. MvIntyre the eminent lawyer and Q C. who was only n few years ago tho (irit candidate in Ottawa being a>ked In Montreal tho other day if he was as reported not in accord with Mr. Laurier 6 policy replied to the The Press correspondent as follows. The article
1895-04-04, each day,  temperance societies in London on Tuesday quiriee disproving the eiistauce of disease 01'y a few hours each day charging it dressing gownand fastened with silk frogs evening. Congratulatory messages were ^sve b*** communicated by^^the^Bntieh | necesaary but once o; twice smooth. Then |	this could be seen trousers of
1895-04-04, Friday,  Ogilvie'# elevator at	Methven	Man.	The Katherines of the United Kingdom	At a maae meeting held on Friday night I in the glass lamps beside the coaohinan'e I *ng8 of bla< k silken lex lure underneath
1895-04-04, Sunday,  Mr. William Birkett.a well-known Hamilton business man died euddenly Sunday morning.
1895-04-04, Saturday,  death the friends of the family attempted The coachman from hie seat can light the On Saturday the Prinoees called on th. to euppree. the particulars bat they were	outaide lamps and turn on the heat inaide. | wife of ihe Turkish Consul wearing a pro.
1895-04-04, Thursday,  The first Methodist church at St. Thomas Out was almost completely destroyed by fire on Thursday afternoon only the walls and the tower remaining. The loss is estimated at $25000 on which there was $15000 insurance.
1895-04-04, Tuesday,  through Ottawa on Tuesday on their way Hon. Richard V.ui died at Philadelphia to Bermuda and the \V eel Indies. They	74. He achieved social fame by
1895-04-04, Saturday,  The Veloe with the barge Pilot in tow	Saturday passed the third	reading of the	works ?	But sir you may have a fire at any
1895-04-04, President Cleveland warn 58 years of age on Monday
1895-04-04, single day,  If your heart flutters palpitates or out easily it is diseased and treatment should not be delayed a single day. Dr. Agnew'e cure for the Heart relieves almost instantly and will effect a radical cure.
1895-04-04, science day,  amount sotueily expended in England and Wales alone in 1892-3 wae $2514916 and the amount allocated for the following year wae $3280160. During the last decade there hae been s steady increase in the number of organised science day schools. There were 1421 of these in 18(13 while in 1894 there were 2632 and the payments on result# have advanced within the same period from $226115 to $650000. London guilds are now taking an active interest in the work and are appropriating large amounts of their funds for technical schools and instruction. Manchester is soon to have a new technical school for which over $50000 has been appropriated.
1895-04-04, Tuesday,  Mies Ada McRae returned from Ottawa Tuesday evening.
1895-04-04, rlday,  Holy Week . Good F rlday April 12 Her vices at 10 a. m. ; 81> m. and 7 n. m.
1895-04-04, LineHuuday,  Eighth LineHuuday April 7-2.U0 p.m.
1895-04-04, few day,  Miss Minnie Ardill of Hryson spent a few days with her sister our popular
1895-04-04, Thursday,  Messrs J. and S. Cole returned home Thursday from the woods
1895-04-04, Wednesday,  Wednesday evening by a sleigh load from		.
1895-04-04, Thursday,  Wednesday night 27th ult H to k place Friday p. in. and was largely attended by a number of sympathetic friends. Mr D J. Craig officiated in liev. Mr. Nelson's absence. Messrs. E Payne and George Lothian arrived from Ottawa on Thursday to attend the fune
1895-04-04, Monday,  Mrs. Young who has been visiting friends here left for her home in Claren d "ii Monday.
1895-04-04, few day,  her friend Miss Farrell of Otter Lake themselves with the most modern aide to | into COntFUCtS for tftkillg OUt spent a few days with Mrs. D. Roes. successful dairying
1895-04-04, Friday,  Our German friends are having special Lenten services ou Friday evenings.
Binary file 1895-04-04,  matches
1895-04-11, Thursday,  la issued from the office of Publication at Shawville every Thursday.
1895-04-11, Saturday,  All who have need the Manitoba flour Several accidents occurred on the that 0. Fred Hudgins is welling says its rVtir near here on Saturday. Mesura splendid and wonderfully cheap.	W. McLean and Joe. A mm with ahorse
1895-04-11, Thursday,  Will he at Hhawvllleflrst Thursday of each month.
1895-04-11, Saturday,  On Saturday last Mr. Jos. Arm it age of North Onslow called at The Equity office on his way home from a collecting tour in which he was soliciting funds for the erection of a new English Church at North Onslow which is said to be
1895-04-11, one day,  thirty-eight cases of cholera in one day All the magnifiant cedars of Lebanon at	f . vofce to the tail and the
1895-04-11, Saturday,  Mr. F. J. tieddes City Clerk of Calgary died suddenly on Saturday.
1895-04-11, Thursday,  The most seven; gale for many years swept New York harbor on Thursday doing much damage to the vessels.
1895-04-11, Thursday,  Mr. R. H. Reihune for many years cashier of the Dominion Hank * died on Thursday at his residence in Toronto.
1895-04-11, the day,  The Colonial Office has been asked to ascertain from France the day on which it wil he convenient to proclaim the treaty between that country and Canada in force.
1895-04-11, Saturday,  The Cabinet Council on Saturday which Lord Rosebery attended decided to nominate Mr. W illiam Court Gully Q.C. M.P. for Carlisle for the Speakership to succeed
1895-04-11, Friday,  Lord KimWrley on Friday informed a deputation from the Armenian Association that Great Britain in conjunction with France and Russia would take decided steps to attain desired reforms for the protection of the Armenian Christians.
1895-04-11, Sunday,  A pitch-in took place early on Sunday -_...	^ Kimball of Rochester the MArlin Alonzo Pinzon and the cruiser without seeming to knew that they have
1895-04-11, each day,  As each day so swiftly flies
1895-04-11, Wednesday,  The PatiWe bill in the Ontario Legislature lo prohibit the u*e of t ail way jmw sea by members of the Legislature met iu fate on Wednesday last by an adverse
1895-04-11, Friday,  At a meeting of the Cut Nails association held on Friday )a*i it whs decided in fix the price of cut nails at $2 10 per keg delivered at my point in Canada. This practically means that the
1895-04-11, particular day,  on that particular day although notices to that effect had been previously posted up	Butter
1895-04-11, Thursday,  Luke Cheese Factory Thursday April 18th
1895-04-11, about day,  to him. that as he has decided to close his where he intended spending his declining endon met this day. Members present business and remove from ShawvIMe about days. Finding his strength failing him J t*. C. Armstrong Jae. Hart and W. E
1895-04-11, eighth day,  TJUBLIC NOITCE Is hereby given by * undersigned Sec Treasurer of the M el pall t y of Clarendon. County of Pontiac that the list of persons entitled to vole at the election of a nvuibtw ol I he Legislative Assembly of the Province of Quebec has been odged In the oflVeof the und-rslgned at the disposal and for the Information of all partie* Interested; and that on Monday the twenty second day of the month of April 1885. at th awn*l lime and place of meeting the municipal Council will examination and correction of the said list Dated at Hhawvllie. this twenty eighth day of the month of March one thousand eight hundred and ninety
1895-04-11, the day,  sumwr of strong cigars the Sultan of Turkey alternates hie cigarettes with a hookah President Cleveland puffs a cigar after dinner but smokes less frequently during the day than he used to; the Emperor of China lias no time at present to smoke anything.
1895-04-11, previous day,  between her father and Lord Roland Ayre <le Mars It is also proposed to demolish the previous day aud had gathered from the Palais de l'Industrie and connect the the words that fell upon her ears that Lord banks of the Seine by what
1895-04-11, 596 day,  The a came the darkest period of all my persist in the form of persecution which wtljch were received from districts reprehateful life the period of your illness when you have been carrying on for the last six j aenting apopulatiau of more than20000.000 your life hung in the balance when every weefce jt will l>e my duty to hand you over mtty ^ summed up by saying that in 596 day that dawned might be your last on l0 (he police and it will be their duty to ioua|itjeif representing a population of earth. I lived through that time a time djiCOver whether you are a lunatic at large y 797 231 there is no exceptional distress ; or fear and trembling which I 1 huddered or whether you are really the man you pre- tjBt in 454 localities with a population of even to remember years afterwards.	tend to be and the murderer of Robert 10381000 there is exceptional distress
1895-04-11, appointed day,  Lo .dou on an appointed day cash his check at hie bank and then carry the money to hie solicitor's office. 1 told him casually the name and address of the bank and the name and address of the solicitor ; and I saw him sitting there before mewith hie eyes kindling like two burning coals and hie undei lip trembling curiously as his halting breath came and went.
1895-04-11, t day,  Minutes of a special session of the Municipal council of the village of Shaw ville duly convened by order of the mayorand held at his office on Thursday the 2l t day of March 1895
1895-04-11, 1st day,  Shaw ville hold on Monday the 1st day Feh. 13 Paid Warden McNally expenses re sale of bunds of April 1895.	March 3 Paid Registering By laws 28 snd 29 and report
Binary file 1895-04-11,  matches
1895-04-18, holiday,  holidays with ledge their heart felt thanks to the
1895-04-18, Tuesday,  Mrs. Leonard Jerome mother of lady Randolph Churchill died at Tunbridge Wells on Tuesday.
1895-04-18, Thursday,  A boat left Detroit for Cleveland on Thursday which marks the opening of navigation on Lake Erie.
1895-04-18, Thursday,  Louie Bouchard a Grand Trunk Railway clerk committed suicide at Hochelaga ou Thursday.
1895-04-18, Saturday,  Saturday afternoon. The tragedy
1895-04-18, Thursday,  Mrs. Paran Stevens the well known society leader of New York died at her home in that city on Thursday from pneumonia complicated by heart trouble.
1895-04-18, Saturday,  The will ol the late Col. Allan Gilmour of Ottawa was probated on Saturday. The valued at $1452000. Deceased
1895-04-18, Friday,  Mr. Adam Cantelon treasurer of the township of Goderich died at Clinton on Friday. He was seventy five years of age.
1895-04-18, earns day,  having been bom the earns day and the nver in B ex iff and when some diet same year as the Queen.
1895-04-18, Monday,  condition of the institution under the court until the first Monday in May. management of Warden Ouimet	The mutilated body of a colored woman
1895-04-18, Utter day,  Utter day apeaken of Kogliah are get .
1895-04-18, a day,  not a day goes by but one or more families can be aven coming across the river with their household goods.
1895-04-18, Thursday,  A MEETING of the Patrons off Green Lake Cheese Factory will be held on Thursday April 18th for the purpose of organising for the season's work of Meeting will be held in No. 10 school house at 6 p m. All farmers of that locality are respectfully requested to attend.
1895-04-18, bUt day,  Prisoner-Well sah I might er stole day are some twenty millions more 11 COWi bUt day's mo' trouble to manage than when his Government was in	' u (-Atlanta Conatitution.
1895-04-18, today,  which a century has wrought. Canada today has a population at least equal to that of Scotland and Wales combined. Her mercantile marine is one of the moot impartant in the whole world. Her transcontinental line the Canadien Pacific Railway traverses seme thing like 3000 miles of territory from east to west and the Dominion aim# at being a great highway of traffic between Europe and Asia.
1895-04-18, many day,  edty due to French ingenuity. The ordinary been murdered many days before by opera glue reached it. biffant pomt of ef bia owe countrymen who had afterward
1895-04-18, Sunday,  looted as liters-suggestions for reviving Interest In it. One of them Is already in operation in Sunday School work. Another ie its study as liter-in the schools and colleges.
1895-04-18, wedding day,  be wedding day is as follows r
1895-04-18, Tuesday,  Tho Ontario Legislature was prorogued on Tuesday last.
1895-04-18, to day,  chasing for Pennsylvania oil to day from $1 27 to $1.36. This is an advance of 26 cents per barrel in the last week. In thv speculative market sales were made on the Oil City exchange at $1 60. The cause sf the excitement is generally admitted to be the exhaustion of known fields for what is called Pennsylvania oil. The price is expected to keep steadily rising during this summer and some producers are sanguine enough to believe that 1896 will see $3 oil.
Binary file 1895-04-18,  matches
1895-04-25, Thursday,  Is issued from the office of Publication at Shaw ville every Thursday.
1895-04-25, Wednesday,  The Ottawa Journal of Wednesday last last may#
1895-04-25, Tuesday,  gins on Tuesday evening last.	I *******
1895-04-25, Thursday,  17W?lS be at Shawvllleflrst Thursday of each they consider that the fact that of the month.	nearly 31400.00 raised in the parish for
1895-04-25, Friday,  Friday April*- Evening Prayer 7 o'clock. I_
1895-04-25, Sunday,  Sunday Apr XB-6. 8. and Bible Class. 9 .u. Morning Prayer 10.30. Evening Pray- aDle
1895-04-25, Tuesday,  Dr. W. C. McGuire V. 8. returned on Tuesday evening of last week from a
1895-04-25, Friday,  A lecture will be given by Dr. Bar M per in the Masonic Hall on Friday even Hanna D. Kennedy
1895-04-25, Sunday,  put up at all hours. Open oa Sunday between 12 and I p m. Da. R.H. Klooi.
1895-04-25, Sunday,  Sunday April 26- Service 130. p m.
1895-04-25, Thursday,  Thursday May 2-Confirmation class 6 p m. Service 7
1895-04-25, Sunday,  Sunday School Worhi
1895-04-25, Sunday,  Stipends tor year eudlng Marcb 211*5 ^8 7* by Tboe Piundergast I Sunday collections for running cap #^4# 4*
1895-04-25, one day,  tribu ted to grief and became eo excessive	oruelty 0j which ehe had been the victim	thorn mint one day be mine.	Rut what
1895-04-25, the day,  Then the two young men went off together Fairfield leaving word at the office that he should not return for the day.
1895-04-25, succeeding day,  As Christmas came nearer how ever and the wedding was fixed for the succeeding day Grave became rather wild and excited.
1895-04-25, wedding day,  Since they would spend Christmas Day at Silverton Castle they would be merry over it she said and as tier marriage was to take place immediately afterward she invited a great number of guests to to the castle for the Christmas festivities and stay over the wedding day.
1895-04-25, few day,  " A few days after Christmas a thaw set More than once she had been found walk-in and the river was dragged and the in g in her sleep on her way to the disused castle and grounds were searched onoe tower and though she had been met before more but again in vain and then Lord Rob she could gel there aud had been led or and Eyre bade adieu to the sorrowful old carried back to her room the shock to her
1895-04-25, Friday,  Han Francisco is shocked at the second murder of a young woman in the Emmanuel Baptist Church. On Friday the mutilate1 of Minnie Williams wore found in
1895-04-25, Friday,  was attempted on Friday night when a named William Farr employed as the Canadian Pacific iail way.
1895-04-25, Sunday,  The steamer Numidiao which arrived at Halifax on Sunday from Liverpool brought 70 orphan boys destined for Western Canada.
1895-04-25, heroaSunday,  Farr it appears had been living a double life and while married and the rather of a family was engaged to an estimable young lady named Robinson who works in a Main street millinery store. He tiret met Mies Robinson at Minnedosa five years ago while running on the Manitoba and NorthWestern railway and induced her to come three and a half years ago to Winnipeg. He called pretty regularly at the store for her at noon and almost invariably took tea with heroaSunday evenings at her boarding hoube afterwards escorting her to Westminster church where his brother-in-law Mr. Russell a Main street bookseller alac attended. His marriage with Mias Robinson had been postponed upon one pretext or another generally on account of failure to secure money that was expected but she finally had her trousseau made and the wedding was to have taken place in June. Farr was absent from hie engine for about an hour or an hour and a half just after midnight and his whereabouts has been unaccounted for.
1895-04-25, ~ i*
1895-04-25, Saturday,  The jury in the suit of Chas. W. Me* Keever to recover damages for the loes of his daughter's life from the Atlantic Avenue Railway Company brought in a verdict in Brooklyn N. Y. on Saturday for four 1 housand dollars.
1895-04-25, Friday,  Hon Mr Foster moved seconded by recated and that was the action of attor Bon. Mr.Co.tignn that the speech be ney generml Sifton in Bsldiinnod. The provlnTOOfnllebeei . taken into consideration on Friday.	Hon Mr. Foster referred to the death of	iiuniolpaiityof cianmdon f
1895-04-25, Friday,  respect everywhere paid to the memory is given in chapter 10 to the Grand Lodge At Thorne West an Friday the 19th Inst. ai-of the deceased statesman have been of Canada.	Ian Ernest infaat son of Mr Benjamin
1895-04-25, the day,  decision thereon has been communicated *hich the leader of the Opposition Hon. to the legislature of the said province w. Laurier paid "hie respects" to the The papers on the subject will bo laid be- Government of the day in hie usual en-
1895-04-25, Thursday,  The fifth session of the seventh Parliament of Canada opened on Thursday last under exceptionally favorable conditions. Fully two thirds of the members of the Commons were in their seats when Mr. Speaker took the chair. At a quarter past three the Gentleman Usher of the Black Rod summoned the "faithful Commons " to attend the Senate Chamber where Hie Excellency the Governor General read the following
1895-04-25, Sunday,  Sunday Obaerr-lectorsi Franchiae bill and
1895-04-25, few day,  calf to be dumpish for a few days. W rap paper about the stick of caustic to protect
1895-04-25, other day,  the other day occurred a most affecting
1895-04-25, Friday,  -------------------------------*-------- Last Friday the P. P. J. Oo. put a con-
Binary file 1895-04-25,  matches
1895-05-02, to day,  I Read Dr. Sleek ho + I in to day's
1895-05-02, Thursday,  Is issued from the office of Publication at Shawville every Thursday.
1895-05-02, Friday,  A oroat Hnllnhilnn	become alarmed on account of the pro*	n Friday last. Her remains	were inter	been spent upon it. Driving parks are
1895-05-02, Saturday,  111 prices OI	aiders the lake a barrier quite sufficient Saturday afternoon.	tawa Valley.
1895-05-02, Thursday,  J. McWh.rter has commenced to framv 8imday M Iffik as follows : Thorne I death in a peculiar way on Thursday.
1895-05-02, the day,  Calls responded to at all hours of the day or night.
1895-05-02, Thursday,  The attendance on the floor of the chamber at the opening of Parliament on Thursday was not nearly mo large previous occasions neither was there such a rich display of ladies' costumes. Many jf the dresses were very beautiful and there was a gieat variety of tints which helped to form a very pretty scene to which additional color was lent by the rich sniforme of the office re. The galleries were packed with spectators who craned their necke to catch every detail of the ceremony as though they were viewing it for the first time.
1895-05-02, some day,  "Polly told the story to the owners of the ship. They asked him if he wanted to attempt the search. He said he did not but he would let hie son go some day. So in 1880 the son went on the John."
1895-05-02, eight day,  " At the end of eight days we arrived ofl an island which turned out to be Trinidad. Capt. Pypor called us aft and told us that we had been steering east instead of north. He told us that the owners of the ship the Tully firm of Sutherland had information that a great quantity of money and valuables was hidden on this island. The captain was ordered to conceal this plan from us lest any of the sailors going ashore at Santos should talk aboutit and put the Government on our track.
1895-05-02,  3
1895-05-02, to day,  dca-l.	It is reported in London that Prince Ah discovered at Kourba in Tunis. It gives tends to increase from day to day. For
1895-05-02, Wednesday,  Paymaster Dobson who deserted ftom Many rivera in New liAinpahtre ailected mto l ort Antonio ou Wednesday creating	/'	\	/ ; / dtiv buildings as fellow laborer# with men.
1895-05-02, Thursday,  Judge Wurtele on Thursday.m Montreal Me p MUte lho ehultlug down of nAUy i Peat is being sucoesfully used as fuel for	'	X /	W	axe. trundle the wheelbarrow lay bricks
1895-05-02, Saturday,  instantly.	| In Minneapolis on Saturday Judge Sea- an extensive order tor necessary material.
1895-05-02, great day,  flowers. When the great day for cutting
1895-05-02, Thursday,  The seven year old daughter of Mr. F. Thomas a painter residing in Ottawa met with her death in a peculiar Thursday afternoon. W
1895-05-02, The day,  dignitaries of all sorts who waited in the outer courts lending in their contributions by the attendants. The day ended in feasting and a display of fireworks.
1895-05-02, Monday,  The strikers attacked in omnibus on Monday evening. Thu pn. e charged with drawn swords wounded two and arrested seventeen. The most ardent Socialists in the Municipal Council are moving to obtain a special sitting to consider the advisability of depriving the company of ite concession. The public supported the strikers in 1890 but now oppose them inasmuch as the company has fulfilled the imposed.
1895-05-02, Tuesday,  The ostrich which some time ago given to the Queen by a South African Queen died on Tuesday in the Zoological gardens London.
1895-05-02, a day,  condition for a nigbL In the morning you 'moking a day Sometimes I had a Williams* Pmk Pilla The origin of Mr. tub-	om Main Ht. K.. Hamilton OnL
1895-05-02, Monday,  On April toih by Rev. It il. Peever H.TL.Bt Brother Mr. John Russell on Monday.
1895-05-02, Tutaday,  Quyon Tutaday May 7 th.
1895-05-02, Wednesday,  Shaicrille Wednesday Afay 9th
1895-05-02, Thurtday,  Campbell* Bay Thurtday May 9th.
1895-05-02, Tuesday,  Ladies and men a tweed and rubber gortOD| on Tuesday last. The ceremony
1895-05-02, Friday,  here on Friday evening last. His sub	with made-up "switches" chignons and	entrance. Order is maintained by the	following	time table	:
1895-05-02, Monday,  At the close of the lecture Dr. Harper age Monday evening. April 15. There A Colon despatch says that the Nicer-took occasion to express his disapproval was a satisfactory attendance and encour aguans at Corinto withdrew crossing the of the idea which seems to bo gaining aging reports.	Lugo separating the town from the main
1895-05-02, Tuesday,  becomes his duty to impart whatever of On Tuesday of last week Mr. R. Lough know ledge and instruction he can to the ren jr and Miss Maggie eldest daugh children without charge. As we under- ter of Mr John Connelly of Clarendon
1895-05-02, Sunday,  Eight Line Sunday May 6 Service 2.80 p an.
1895-05-02, Sunday,  The Sunday Schools at Radford Bight Line and No. 5 will commence on Sunday. May 6.
Binary file 1895-05-02,  matches
1895-05-09, Thursday,  la iaued from the office of Publication at Shawrille every Thursday.
1895-05-09, Toeaday,  Mr. W. Arm it age and family p*nied br Mr. John Wilton left t geon Falls on Toeaday.
1895-05-09, Friday,  A tent of the order of Maccabees was Mkin8 for biIe of divorce at the piesent instituted at Bryson on Friday evening "*ss:on of the Dominion parliament.
1895-05-09, Tuesday,  1 y answered3*' ^"oorrespondenceprompt- the 6th of May 1	At Otter Lake on Tuesday April 30
1895-05-09, Sunday,  They will be sold without reserve.	Just what was required to to haeten 4th Sunday after Easter - May 12th a job price On which WO CAB
1895-05-09, Tuesday,  HtllKT	ATLtll	Tuesday in the person of Mrs. Thom. G.	at $}* brlck work of Hargr Elliott 2 Jennie Jones 3.
1895-05-09, Funday,  A aran+ ITiillohnlnn	New Drug Store Main St. Shaw-	of the high tides of the bay of Funday	opinion that Article 548 of the MunicipM
1895-05-09, Saturday,  Friday last for interfering with the	enca on Saturday May 25th at - o clock	year to any person to sell intoxicating
1895-05-09, several day,  To keep fresh meat perfectly sweetplace expose her f> a revolution as the Japanese it in a dish end cover it with milk. It will 1 people are intoxicated with their successes keep thus for several day#. Sour milk or I And would assent to no concessions.	butler-milk will serve the purpose.
1895-05-09, Sunday,  On Sunday evening Dwight L. Moody au d r
1895-05-09, Saturday,  ad enormous reservoir near Kpinal burst The Dominion Government has been re- has involved in serious loss some Canadian There are four genuine cases of leprosy on Saturday inundating many villages in Sueeed ! Y Imperial authorities to send i dealers.	in Brooklyn. All the victims sre negro
1895-05-09, Saturday,  and few were spared at Auxforges. Hundred* Falher rartxdis makes a strong appeal to Saturday afternoon.	ed lhat It would use electricity on its line one silk or one pulled and the other
1895-05-09, the day,  The Chinese divide the day into twelve parts of two hours each. The Italians reckon tweuty-four hours round instead of two divisions of twelve hours esch as we
